qid,title,filename,question,sentence,summarized_paragraph,sec_id,par_id,data_rule_1,extra_rule_1,bool_rule_1,data_rule_2,extra_rule_2,bool_rule_2,data_rule_3,extra_rule_3,bool_rule_3,FinalRatings,avg_grammar_rating,unique_pseudonyms,count_unique_pseudonyms,avg_answerability_rating,sum_yes_meaningful,sum_no_meaning,sum_maybe_meaning,FinalRatings_not_has_anon_sheep,uniq_psudo_not_has_anon_sheep,find_anon_elephant_in_FinalRatings,qid_is_332
0,Paul of Venice,stanford.library.sydney.edu.au/entries/paul-venice/index.html,What does he do with the meaning of the term'res'?,"but disagrees with him about the meaning of the term ‘res’ in his view, only positive beings are things, and a complex expression is not a positive being as it is not an item in one of the ten categorial lines.","Paul agrees with Gregory that what is signified by a simple expression is different from what is Signified by complex expression. But disagrees with him about the meaning of the term ‘res’ In his view, only positive beings are things, and a complex expression is not a positive being as it is not an item in one of the ten categorial lines. In other words, even though states of affairs are not really, but only formally, different from individual things, they cannot in any way be regarded as things in the world.",5.0,9.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,[],,False,,NaN,,0,NaN,0,0,0,1,1,,0
2,Paul of Venice,stanford.library.sydney.edu.au/entries/paul-venice/index.html,What does paul deny that a thing is a thing?,"paul denies  that states of affairs, both actual and possible, are constitutive parts of the world really distinct from the categorial items, and  that whatever is signifiable by a complex expression is a thing.","According to Paul, the term ‘something’, taken in the first or second sense enumerated by Gregory, is a transcendental term. Paul denies  that states of affairs, both actual and possible, are constitutive parts of the world really distinct from the categorial items, and  that whatever is signifiable by a complex expression is a thing. If the supporters of Gregory’s opinion were to claim that ‘ something’ is not a transcendent term, it would follow that 'something' would be either less general or more general.",5.0,4.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': [{'message': 'Possible spelling mistake found', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Paul'}, {'value': 'haul'}, {'value': 'Gaul'}, {'value': 'Paula'}, {'value': 'Saul'}, {'value': 'pal'}, {'value': 'Pauli'}, {'value': 'Raul'}, {'value': 'pall'}, {'value': 'maul'}, {'value': 'pail'}, {'value': 'pawl'}, {'value': 'AUL'}, {'value': 'PAL'}, {'value': 'PUL'}], 'offset': 10, 'length': 4, 'context': {'text': 'What does paul deny that a thing is a thing?', 'offset': 10, 'length': 4}, 'sentence': 'What does paul deny that a thing is a thing?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}}]}",['TYPOS'],False,"[{'token': What, 'tag': 'WP'}]",,True,"[{'text': 'paul deny', 'label': 'PERSON'}]",,True,,NaN,,0,NaN,0,0,0,1,1,,0
3,Paul of Venice,stanford.library.sydney.edu.au/entries/paul-venice/index.html,What do the things have in relation to the mind of god?,"the first type of truth is the measure of the conformity  which all the things have in relation to their corresponding ideas in the mind of god, from which they derive.","In his commentary on the Categories, Paul explains that the direct and adequate objects of propositions, which make them true, are molecular things  existing outside the soul. Such entities are complexe significabilia, the significata of propositions. The first type of truth is the measure of the conformity  which all the things have in relation to their corresponding ideas in the mind of God, from which they derive. The second type is also a real property of extramental things, which measures their various degrees of disposition to be apprehended by our intellect.",5.0,13.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,[],,False,,NaN,,0,NaN,0,0,0,1,1,,0
4,Paul of Venice,stanford.library.sydney.edu.au/entries/paul-venice/index.html,What is the subject in a given class of objects?,"and it means that the subject in virtue of itself is necessarily a member of a given class of objects, which the predication labels and refers to.","Paul builds up a mixed system, where the copula of the standard philosophical sentences he deals with can have a threefold value. It means a partial identity between the subject-thing and the predicate-thing in the case of identical predication; it means a necessary link between forms in the cases of the first type of formal predication. And it means that the subject in virtue of itself is necessarily a member of a given class of objects, which the predication labels and refers to.",4.0,5.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,[],,False,,NaN,,0,NaN,0,0,0,1,1,,0
5,Paul of Venice,stanford.library.sydney.edu.au/entries/paul-venice/index.html,What is necessarily a member of a given class of objects?,"and it means that the subject in virtue of itself is necessarily a member of a given class of objects, which the predication labels and refers to.","Paul builds up a mixed system, where the copula of the standard philosophical sentences he deals with can have a threefold value. It means a partial identity between the subject-thing and the predicate-thing in the case of identical predication; it means a necessary link between forms in the cases of the first type of formal predication. And it means that the subject in virtue of itself is necessarily a member of a given class of objects, which the predication labels and refers to.",4.0,5.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,[],,False,,NaN,,0,NaN,0,0,0,1,1,,0
7,Paul of Venice,stanford.library.sydney.edu.au/entries/paul-venice/index.html,What did paul of venice develop?,it is just in order to do away with the peculiar problems of the realist paradigm that paul of venice developed a new theory of knowledge.,"Paul of Venice worked out a new version of the standard medieval realist theories of knowledge, critical of the most common solutions proper to his intellectual environment. Much more stress is put on the question of class-membership, and on the intellective cognition of individuals.  It is just in order to do away with the peculiar problems of the realist paradigm that Paul of Venice developed a new theory of knowledge. He called it 'theory of knowledge' and said it was a new way of looking at knowledge.",7.0,3.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': [{'message': 'Possible spelling mistake found', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Paul'}, {'value': 'haul'}, {'value': 'Gaul'}, {'value': 'Paula'}, {'value': 'Saul'}, {'value': 'pal'}, {'value': 'Pauli'}, {'value': 'Raul'}, {'value': 'pall'}, {'value': 'maul'}, {'value': 'pail'}, {'value': 'pawl'}, {'value': 'AUL'}, {'value': 'PAL'}, {'value': 'PUL'}], 'offset': 9, 'length': 4, 'context': {'text': 'What did paul of venice develop?', 'offset': 9, 'length': 4}, 'sentence': 'What did paul of venice develop?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}}, {'message': 'Possible spelling mistake found', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Venice'}, {'value': 've nice'}], 'offset': 17, 'length': 6, 'context': {'text': 'What did paul of venice develop?', 'offset': 17, 'length': 6}, 'sentence': 'What did paul of venice develop?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}}]}","['TYPOS', 'TYPOS']",False,"[{'token': What, 'tag': 'WP'}]",,True,"[{'text': 'venice', 'label': 'GPE'}]",,True,,NaN,,0,NaN,0,0,0,1,1,,0
10,Paul of Venice,stanford.library.sydney.edu.au/entries/paul-venice/index.html,"Along with nardi , ruello , and what other person , who said paul was an averroist?","according to nardi, ruello, and kuksewicz, paul was an averroist, as he would have supported the thesis of the unicity and separate character of such an intellect for the whole human species.","According to Nardi, Ruello, and Kuksewicz, Paul was an Averroist, as he would have supported the thesis of the unicity and separate character of such an intellect for the whole human species. But this is false. On the contrary, Paul’s point of view for this question is close to that of Thomas Aquinas, whose arguments he utilizes in his commentaries on the De anima and on the Metaphysics. In these two Aristotelian commentaries he clearly rejects all the main theses of later medieval A verroism.",7.0,8.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': [{'message': 'Possible spelling mistake found', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'hard'}, {'value': 'card'}, {'value': 'cards'}, {'value': 'yard'}, {'value': 'yards'}, {'value': 'Nazi'}, {'value': 'Ward'}, {'value': 'ward'}, {'value': 'wards'}, {'value': 'Hardy'}, {'value': 'Saudi'}, {'value': 'arid'}, {'value': 'Audi'}, {'value': 'Nordic'}, {'value': 'hardy'}, {'value': 'weird'}, {'value': 'Hardin'}, {'value': 'Mari'}, {'value': 'Nadia'}, {'value': 'Naomi'}, {'value': 'Verdi'}, {'value': 'bard'}, {'value': 'nadir'}, {'value': 'Kari'}, {'value': 'Mahdi'}, {'value': 'Randi'}, {'value': 'bardic'}, {'value': 'bards'}, {'value': 'cardio'}, {'value': 'lard'}, {'value': 'nerd'}, {'value': 'nerds'}, {'value': 'nerdy'}, {'value': 'sari'}, {'value': 'wadi'}, {'value': 'tardy'}, {'value': 'Cardin'}, {'value': 'Marci'}, {'value': 'Farsi'}, {'value': 'carpi'}, {'value': 'nary'}, {'value': 'weirdo'}, {'value': 'narc'}, {'value': 'tarsi'}, {'value': 'nark'}, {'value': 'lards'}, {'value': 'lardy'}, {'value': 'Narnia'}, {'value': 'cardie'}, {'value': 'narcs'}, {'value': 'narky'}, {'value': 'weirdie'}, {'value': 'ACDI'}, {'value': 'ARD'}, {'value': 'ARI'}, {'value': 'ARSI'}, {'value': 'CARMI'}, {'value': 'GRDI'}, {'value': 'IARD'}, {'value': 'MAEDI'}, {'value': 'NAD'}, {'value': 'NADS'}, {'value': 'RDI'}], 'offset': 11, 'length': 5, 'context': {'text': 'Along with nardi , ruello , and what other person , who ...', 'offset': 11, 'length': 5}, 'sentence': 'Along with nardi , ruello , and what other person , who said paul was an averroist?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}}, {'message': 'Put a space after the comma, but not before the comma', 'shortMessage': '', 'replacements': [{'value': ','}], 'offset': 16, 'length': 2, 'context': {'text': 'Along with nardi , ruello , and what other person , who sa...', 'offset': 16, 'length': 2}, 'sentence': 'Along with nardi , ruello , and what other person , who said paul was an averroist?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'COMMA_PARENTHESIS_WHITESPACE', 'description': 'Use of whitespace before comma and before/after parentheses', 'issueType': 'whitespace', 'category': {'id': 'TYPOGRAPHY', 'name': 'Typography'}}}, {'message': 'Possible spelling mistake found', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'hello'}, {'value': 'cello'}, {'value': 'Pueblo'}, {'value': 'quell'}, {'value': 'cruelly'}, {'value': 'pueblo'}, {'value': 'rubella'}, {'value': 'Luella'}, {'value': 'jello'}, {'value': 'quells'}], 'offset': 19, 'length': 6, 'context': {'text': 'Along with nardi , ruello , and what other person , who said paul...', 'offset': 19, 'length': 6}, 'sentence': 'Along with nardi , ruello , and what other person , who said paul was an averroist?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}}, {'message': 'Put a space after the comma, but not before the comma', 'shortMessage': '', 'replacements': [{'value': ','}], 'offset': 25, 'length': 2, 'context': {'text': 'Along with nardi , ruello , and what other person , who said paul w...', 'offset': 25, 'length': 2}, 'sentence': 'Along with nardi , ruello , and what other person , who said paul was an averroist?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'COMMA_PARENTHESIS_WHITESPACE', 'description': 'Use of whitespace before comma and before/after parentheses', 'issueType': 'whitespace', 'category': {'id': 'TYPOGRAPHY', 'name': 'Typography'}}}, {'message': 'Put a space after the comma, but not before the comma', 'shortMessage': '', 'replacements': [{'value': ','}], 'offset': 49, 'length': 2, 'context': {'text': '...h nardi , ruello , and what other person , who said paul was an averroist?', 'offset': 43, 'length': 2}, 'sentence': 'Along with nardi , ruello , and what other person , who said paul was an averroist?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'COMMA_PARENTHESIS_WHITESPACE', 'description': 'Use of whitespace before comma and before/after parentheses', 'issueType': 'whitespace', 'category': {'id': 'TYPOGRAPHY', 'name': 'Typography'}}}, {'message': 'Possible spelling mistake found', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Paul'}, {'value': 'haul'}, {'value': 'Gaul'}, {'value': 'Paula'}, {'value': 'Saul'}, {'value': 'pal'}, {'value': 'Pauli'}, {'value': 'Raul'}, {'value': 'pall'}, {'value': 'maul'}, {'value': 'pail'}, {'value': 'pawl'}, {'value': 'AUL'}, {'value': 'PAL'}, {'value': 'PUL'}], 'offset': 61, 'length': 4, 'context': {'text': '...ello , and what other person , who said paul was an averroist?', 'offset': 43, 'length': 4}, 'sentence': 'Along with nardi , ruello , and what other person , who said paul was an averroist?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}}, {'message': 'Possible spelling mistake found', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Averroes'}], 'offset': 73, 'length': 9, 'context': {'text': '...hat other person , who said paul was an averroist?', 'offset': 43, 'length': 9}, 'sentence': 'Along with nardi , ruello , and what other person , who said paul was an averroist?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}}]}","['TYPOS', 'TYPOGRAPHY', 'TYPOS', 'TYPOGRAPHY', 'TYPOGRAPHY', 'TYPOS', 'TYPOS']",True,"[{'token': what, 'tag': 'WDT'}, {'token': who, 'tag': 'WP'}]",,False,"[{'text': 'nardi', 'label': 'ORG'}, {'text': 'paul', 'label': 'PERSON'}]",,True,,NaN,,0,NaN,0,0,0,1,1,,0
12,Paul of Venice,stanford.library.sydney.edu.au/entries/paul-venice/index.html,What does the fourth argument say that god cannot do?,"the fourth argument is that, since god knows that animal is the genus of man, he thinks of them by means of two different principles; otherwise he could not distinguish them.","Paul argues that since in God each generic principle  is different from any corresponding specific principle , therefore specific principles too are different from each other. He affirms that if the generic and specific principles were not distinct, then God could not create something according to the generic principle without creating it according to a correlated specific principle. The fourth argument is that, since God knows that animal is the genus of man, He thinks of them by means of two different principles; otherwise He could not distinguish them.",8.0,2.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,"[{'text': 'fourth', 'label': 'ORDINAL'}]",,True,,NaN,,0,NaN,0,0,0,1,1,,0
16,Paul of Venice,stanford.library.sydney.edu.au/entries/paul-venice/index.html,How would a general theory of the proposition be more rigorous?,he intends  to determine the ontological status and nature of the complexe significabile more precisely; and  to develop a general theory of the proposition which would be logically more rigorous and less compromised by a metaphysics of the possible than that supported by gregory of rimini.,Paul of Venice deals with the problem of the meaning and truth of sentences in his Logica Magna and in his commentaries on the Metaphysics and on the Categories. Paul’s purpose is twofold. He intends  to determine the ontological status and nature of the complexe significabile more precisely; and  to develop a general theory of the proposition which would be logically more rigorous and less compromised by a metaphysics of the possible than that supported by Gregory of Rimini. For this reason Paul deals with. the question of the truth and falsity of a proposition before examining the. problem of its meaning.,5.0,1.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': How, 'tag': 'WRB'}]",,True,[],,False,,NaN,,0,NaN,0,0,0,1,1,,0
18,Paul of Venice,stanford.library.sydney.edu.au/entries/paul-venice/index.html,"The remote principle , in addition to the immanent principle , is insufficient for causing the existence or disappearance of an individual?","the remote principle, on the other hand, is just what the immanent principle presupposes, but whose presence and absence alone are insufficient for causing the existence or disappearance of an individual.","Paul successfully reconciles the Scotistic approach with certain Thomistic theses. Paul claims that the principle of individuation is twofold, immanent and remote. The immanent principle is the one whose presence necessarily entails the existence of the individual it constitutes. The remote principle, on the other hand, is just what the immanent Principle presupposes, but whose presence and absence alone are insufficient for causing the existence or disappearance of an individual.  This means that the relationship between common natures and singulars is ultimately grounded on individuated. No actual universality and no instantiation is possible without individuations.",6.0,7.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': [{'message': 'Put a space after the comma, but not before the comma', 'shortMessage': '', 'replacements': [{'value': ','}], 'offset': 20, 'length': 2, 'context': {'text': 'The remote principle , in addition to the immanent principle ,...', 'offset': 20, 'length': 2}, 'sentence': 'The remote principle , in addition to the immanent principle , is insufficient for causing the existence or disappearance of an individual?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'COMMA_PARENTHESIS_WHITESPACE', 'description': 'Use of whitespace before comma and before/after parentheses', 'issueType': 'whitespace', 'category': {'id': 'TYPOGRAPHY', 'name': 'Typography'}}}, {'message': 'Put a space after the comma, but not before the comma', 'shortMessage': '', 'replacements': [{'value': ','}], 'offset': 60, 'length': 2, 'context': {'text': '... , in addition to the immanent principle , is insufficient for causing the existen...', 'offset': 43, 'length': 2}, 'sentence': 'The remote principle , in addition to the immanent principle , is insufficient for causing the existence or disappearance of an individual?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'COMMA_PARENTHESIS_WHITESPACE', 'description': 'Use of whitespace before comma and before/after parentheses', 'issueType': 'whitespace', 'category': {'id': 'TYPOGRAPHY', 'name': 'Typography'}}}]}","['TYPOGRAPHY', 'TYPOGRAPHY']",True,[],,True,[],,False,,NaN,,0,NaN,0,0,0,1,1,,0
